gap_label,severity,primary_trigger,epsilon_Lambda_condition,epsilon_E_condition,description,next_run_family,notes
good_match,none,"|eps_Lambda| <= tol AND |eps_E| <= tol_E","abs(Lambda_sim - Lambda_data) <= tolerance_nm","abs(E_sim - E_data) <= tolerance_E","Simulation and empirical data agree within tolerance. Record can be promoted to solved.",none,"Confidence score should be updated upward; record moves to backmatter"
scale_shift,low,"consistent offset in Lambda; no energy mismatch","Lambda_sim - Lambda_data is systematic offset","small","Systematic positive or negative shift in Lambda across multiple records. Suggests state-prior bias.","state_average_retest, same_object_different_state","Check state_prior_table for bias in Lambda_bar_nm"
energy_shift,low,"consistent offset in E; Lambda acceptable","acceptable","E_sim - E_data is systematic offset","Systematic energy offset. Lambda recovery is correct but energy magnitude is off.","force_force_alignment_sweep","May indicate UFF/CFF scale factor error; check casting calibration"
overextended_field,medium,"Lambda_sim >> Lambda_data","Lambda_sim - Lambda_data > upper_threshold (e.g. +0.3 nm)","any","Simulation recovers a longer-range interaction than the data supports. Field is reaching too far.","cutoff_sweep, screening_test, environment_variation","Check cutoff radius; consider adding environment screening term"
underresolved_scale,medium,"Lambda_sim << Lambda_data","Lambda_sim - Lambda_data < lower_threshold (e.g. -0.3 nm)","any","Simulation under-recovers the length scale. Interaction is not being fully captured.","lower_scale_projection, smaller_dt, decompose_composite","May need finer resolution or sub-object decomposition"
missing_vdw_many_body,high,"Lambda and E both low for dense/crystal systems","low","low","Many-body dispersion contributions missing. Common in crystal, solution, and surface states.","vdW_N, disp_N, pack_N, crystal, solution","Enable many-body vdW correction; generate packing and density variation runs"
missing_sign_halo,high,"systematic directional bias; orientation-dependent gap","directional","directional","Sigma-hole, pi-hole, or lone-pair halo not captured. Gap is geometry-sensitive.","sigma_hole, pi_hole, lone_pair_halo, halogen_bond","Generate orientation variation and halogen/chalcogen/pnictogen/tetrel test cases"
bad_state_prior,medium,"gap is state-dependent rather than family-dependent","state-specific","state-specific","Wrong Lambda_bar or sigma for the declared state. Prior does not match the substance context.","same_object_different_state, state_average_retest","Update state_prior_table; rerun with corrected Lambda_bar"
bad_screening,medium,"Lambda overextended in high-dielectric environments","positive in polar solvents","any","Screening model not matching environment dielectric. Common in solution and biological_pocket.","screening_test, environment_variation","Check dielectric_epsilon input; test with explicit solvent runs"
force_mismatch,medium,"CFF/UFF misalignment; casting error","any","CFF and UFF disagree","Force-force casting does not match field-field prediction. Casting layer inconsistency.","force_force_alignment_sweep, orientation_variation","Check casting_primary and casting_secondary assignment; verify channel mapping"
orientation_failure,medium,"gap vanishes when geometry is fixed","geometry-sensitive","geometry-sensitive","Interaction is orientation-sensitive and the sim is sampling the wrong geometry ensemble.","orientation_variation, geometry_mode_sweep","Fix geometry_mode; generate slipped_parallel vs face-on vs T-shaped comparison runs"
topology_sensitive,medium,"gap varies with branching or connectivity","topology-dependent","any","Interaction recovery depends on molecular topology in a way the model does not currently capture.","topology_variation, branching_sweep","Vary conjugation length, branching factor, and ring count in next generation"
resolution_failure,high,"Lambda recovered but poorly converged; high sigma","converged","noisy","Resolution too coarse. Lambda is in the right range but uncertainty is unacceptably high.","lower_scale_projection, smaller_dt","Reduce dt or increase run length; check convergence criterion"
insufficient_data,info,n/a,"Lambda_data is null or coverage_count < min_coverage","E_data is null","No empirical data available for comparison. Record cannot be validated.","import_data_sweep","Flag for empiricalDB expansion; cannot resolve gap without data"
